class,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13
b,0.0,1.0,99.0454441153,0.785398163397,65.06919394,0.0461047666084,0.998936609849,295.362717268,-17.2787595947,17.2787595947,13.5707060515,5.0,703.0
b,0.0,1.0,79.1770168673,0.785398163397,66.1211010193,0.0604950604019,0.998168496631,169.309365787,-11.0723461788,12.6431425056,11.0026243365,0.0,953.0
b,0.0,1.0,110.679718106,0.785398163397,85.0,0.0,1.0,261.435439714,-19.6349540849,19.6349540849,15.4212568767,1.0,781.0
b,0.0,1.0,145.773797371,1.10714871779,132.242202039,-0.0604950604019,0.998168496631,299.255944342,-18.8495559215,18.8495559215,14.8044066016,2.0,609.0
b,0.0,1.0,119.402680037,1.10714871779,105.0,0.0,1.0,245.5863836,-16.4933614313,16.4933614313,12.9538557764,6.0,688.0
b,0.099503719021,0.99503719021,121.24768039,0.785398163397,91.0054943396,-0.208778603291,0.977962931203,269.335991816,-17.2787595947,17.2787595947,13.5707060515,1.0,656.0
b,0.0,1.0,96.5194280961,0.785398163397,68.2641926635,-0.0878938102964,0.996129850025,222.327248178,-17.2787595947,17.2787595947,13.5707060515,0.0,719.0
b,0.124034734589,0.992277876714,71.55417528,1.10714871779,57.0,0.0,1.0,137.223729538,-13.6735193322,15.2443156589,12.3290832345,0.0,860.0
b,0.274721127897,0.961523947641,89.0449324779,0.785398163397,69.6419413859,0.272824100275,0.962063932548,180.803230129,-16.4933614313,18.0641577581,14.1875563266,1.0,750.0
b,0.56920997883,-0.822192191644,259.422435421,0.785398163397,148.219431924,0.809610443394,-0.586967571461,618.333586636,-5.49778714378,8.63937979737,6.78535302575,4.0,1109.0
b,0.640184399664,-0.768221279597,207.617436647,1.10714871779,89.9444272871,0.878320118131,-0.478072975692,486.060942142,-6.10333180739,17.4586130945,14.7806398012,4.0,1110.0
b,-0.209529088731,0.977802414077,196.420467365,0.785398163397,166.027106221,0.0180693386055,0.999836736174,433.49933095,-3.14159265359,3.14159265359,2.46740110027,3.0,765.0
c,-0.707106781187,-0.707106781187,89.0505474436,0.785398163397,58.5234995536,0.290481603624,0.956880576643,130.805670607,-0.785398163397,3.92699081699,3.08425137534,1.0,406.0
c,-0.919145030018,-0.393919298579,67.4759216313,0.785398163397,47.539457296,-0.252421897147,0.967617272397,104.294566071,-0.785398163397,2.35619449019,1.8505508252,0.0,312.0
c,-0.847998304005,-0.529998940003,65.4599113962,0.785398163397,49.8196748283,-0.180651520328,0.983547166232,102.709367177,-0.785398163397,0.785398163397,0.616850275068,0.0,375.0
c,-0.832050294338,-0.554700196225,114.621114983,0.785398163397,76.3216876124,-0.0917170494913,0.995785108762,191.107621626,-3.14159265359,3.14159265359,2.46740110027,1.0,437.0
c,-1.0,0.0,94.3663075467,0.0,64.4127316608,-0.465746432833,0.884918222382,147.583064995,-1.57079632679,1.57079632679,1.23370055014,1.0,437.0
c,-0.923076923077,-0.384615384615,97.0824391947,0.785398163397,63.6945837572,-0.376798129202,0.926295400955,151.654887925,-0.785398163397,2.35619449019,1.8505508252,1.0,422.0
c,-0.4472135955,-0.894427191,75.0066663704,0.785398163397,34.4383507154,0.435560928104,0.900159251416,131.465917465,-2.35619449019,5.49778714378,4.31795192548,0.0,500.0
c,-0.8,-0.6,100.603180864,0.785398163397,68.1542368456,-0.249434236033,0.968391739894,157.244112866,1.10714871779,2.67794504459,2.45947883345,2.0,375.0
c,-0.847998304005,-0.529998940003,87.8179936004,0.785398163397,62.128898268,-0.064382277998,0.997925308968,141.412459306,-0.463647609001,2.67794504459,2.45947883345,0.0,375.0
c,-0.624695047554,-0.780868809443,96.2548700067,0.785398163397,61.1310068623,-0.261732970243,0.96514032777,145.255015589,0.785398163397,0.785398163397,0.616850275068,1.0,328.0
c,-0.780868809443,-0.624695047554,84.3800924389,0.785398163397,63.9531078213,-0.17200102348,0.985096770841,126.583703091,-1.57079632679,1.57079632679,1.23370055014,0.0,359.0
c,-0.948683298051,-0.316227766017,77.8010282708,0.785398163397,50.4876222455,0.138647844534,0.990341746674,133.273478621,-0.321750554397,4.39063842599,4.02751644182,0.0,453.0
c,-0.989949493661,-0.141421356237,108.046286378,0.785398163397,87.0,0.0,1.0,166.953619728,-2.35619449019,2.35619449019,1.8505508252,1.0,375.0
c,-0.894427191,-0.4472135955,122.641754717,0.785398163397,79.4292137692,-0.18884739365,0.982006446981,195.702053824,-2.0344439358,5.81953769818,4.92687993372,1.0,485.0
c,-0.780868809443,-0.624695047554,96.8297474953,0.785398163397,54.1479454827,0.0738716855153,0.997267754457,172.078409854,-0.785398163397,0.785398163397,0.616850275068,2.0,390.0
c,-0.894427191,-0.4472135955,108.166538264,0.785398163397,78.6447709641,-0.203446456819,0.979086073442,168.182817484,-3.14159265359,4.71238898038,3.70110165041,1.0,407.0
